1,-1,1000,791,73,202,1,-1,-1,-1
1,-1,1639,426,47,140,1,-1,-1,-1
1,-1,165,403,69,122,1,-1,-1,-1
1,-1,359,222,45,86,1,-1,-1,-1
1,-1,840,251,44,100,1,-1,-1,-1
1,-1,46,542,97,174,1,-1,-1,-1
1,-1,638,600,89,182,1,-1,-1,-1
1,-1,968,370,62,104,1,-1,-1,-1
1,-1,1404,318,84,102,1,-1,-1,-1
1,-1,1622,224,10,11,1,-1,-1,-1
1,-1,1515,515,21,18,1,-1,-1,-1
1,-1,208,256,39,95,1,-1,-1,-1
2,-1,996,792,78,202,1,-1,-1,-1
2,-1,1638,424,47,140,1,-1,-1,-1
2,-1,167,401,70,123,1,-1,-1,-1
2,-1,359,220,45,87,1,-1,-1,-1
2,-1,841,250,44,100,1,-1,-1,-1
2,-1,47,540,97,174,1,-1,-1,-1
2,-1,639,597,89,182,1,-1,-1,-1
2,-1,974,368,64,104,1,-1,-1,-1
2,-1,1415,317,82,102,1,-1,-1,-1
2,-1,1623,222,10,11,1,-1,-1,-1
2,-1,1522,516,21,18,1,-1,-1,-1
2,-1,212,255,39,95,1,-1,-1,-1
3,-1,993,793,82,202,1,-1,-1,-1
3,-1,1637,422,47,140,1,-1,-1,-1
3,-1,169,399,70,124,1,-1,-1,-1
3,-1,359,217,45,88,1,-1,-1,-1
3,-1,843,249,44,100,1,-1,-1,-1
3,-1,49,538,97,174,1,-1,-1,-1
3,-1,639,594,89,182,1,-1,-1,-1
3,-1,979,366,66,104,1,-1,-1,-1
3,-1,1426,315,80,102,1,-1,-1,-1
3,-1,1624,221,10,11,1,-1,-1,-1
3,-1,1529,517,21,18,1,-1,-1,-1
3,-1,216,253,39,95,1,-1,-1,-1
4,-1,989,794,86,202,1,-1,-1,-1
4,-1,1636,420,47,140,1,-1,-1,-1
4,-1,172,398,71,125,1,-1,-1,-1
4,-1,359,215,45,89,1,-1,-1,-1
4,-1,844,248,44,100,1,-1,-1,-1
4,-1,50,536,97,174,1,-1,-1,-1
4,-1,639,591,89,182,1,-1,-1,-1
4,-1,984,365,68,104,1,-1,-1,-1
4,-1,1437,314,79,102,1,-1,-1,-1
4,-1,1624,220,10,11,1,-1,-1,-1
4,-1,1536,517,21,18,1,-1,-1,-1
4,-1,219,251,39,95,1,-1,-1,-1
5,-1,982,796,95,202,1,-1,-1,-1
5,-1,1634,416,47,140,1,-1,-1,-1
5,-1,176,394,73,127,1,-1,-1,-1
5,-1,359,211,45,91,1,-1,-1,-1
5,-1,846,246,44,100,1,-1,-1,-1
5,-1,53,532,97,174,1,-1,-1,-1
5,-1,640,586,89,182,1,-1,-1,-1
5,-1,995,361,72,105,1,-1,-1,-1
5,-1,1458,312,75,102,1,-1,-1,-1
5,-1,1626,217,10,11,1,-1,-1,-1
5,-1,1550,519,21,18,1,-1,-1,-1
5,-1,226,248,39,95,1,-1,-1,-1
6,-1,982,796,95,202,1,-1,-1,-1
6,-1,1634,416,47,140,1,-1,-1,-1
6,-1,176,394,73,127,1,-1,-1,-1
6,-1,359,211,45,91,1,-1,-1,-1
6,-1,846,245,44,100,1,-1,-1,-1
6,-1,53,532,97,174,1,-1,-1,-1
6,-1,640,586,89,182,1,-1,-1,-1
6,-1,995,361,72,105,1,-1,-1,-1
6,-1,1458,312,75,102,1,-1,-1,-1
6,-1,1626,217,10,11,1,-1,-1,-1
6,-1,1550,519,21,18,1,-1,-1,-1
6,-1,226,248,39,95,1,-1,-1,-1
7,-1,979,795,95,204,1,-1,-1,-1
7,-1,1633,415,47,138,1,-1,-1,-1
7,-1,185,392,69,127,1,-1,-1,-1
7,-1,358,210,47,90,1,-1,-1,-1
7,-1,846,244,44,100,1,-1,-1,-1
7,-1,61,529,91,174,1,-1,-1,-1
7,-1,642,586,89,182,1,-1,-1,-1
7,-1,1006,361,72,103,1,-1,-1,-1
7,-1,1467,310,77,103,1,-1,-1,-1
7,-1,1626,216,10,11,1,-1,-1,-1
7,-1,1558,520,21,18,1,-1,-1,-1
7,-1,230,247,40,95,1,-1,-1,-1
8,-1,975,794,95,206,1,-1,-1,-1
8,-1,1631,415,47,137,1,-1,-1,-1
8,-1,194,390,65,127,1,-1,-1,-1
8,-1,358,209,48,89,1,-1,-1,-1
8,-1,847,242,44,100,1,-1,-1,-1
8,-1,70,527,85,174,1,-1,-1,-1
8,-1,643,585,89,182,1,-1,-1,-1
8,-1,1017,361,72,102,1,-1,-1,-1
8,-1,1475,307,80,103,1,-1,-1,-1
8,-1,1627,214,10,11,1,-1,-1,-1
8,-1,1566,521,21,18,1,-1,-1,-1
8,-1,234,246,41,94,1,-1,-1,-1
9,-1,971,794,95,208,1,-1,-1,-1
9,-1,1630,415,47,135,1,-1,-1,-1
9,-1,204,389,61,127,1,-1,-1,-1
9,-1,358,208,50,88,1,-1,-1,-1
9,-1,848,240,44,100,1,-1,-1,-1
9,-1,78,524,79,174,1,-1,-1,-1
9,-1,644,585,89,182,1,-1,-1,-1
9,-1,1027,361,72,101,1,-1,-1,-1
9,-1,1484,304,82,104,1,-1,-1,-1
9,-1,1627,212,10,11,1,-1,-1,-1
9,-1,1574,522,21,18,1,-1,-1,-1
9,-1,238,245,42,93,1,-1,-1,-1
10,-1,964,792,95,213,1,-1,-1,-1
10,-1,1627,414,47,131,1,-1,-1,-1
10,-1,222,386,54,127,1,-1,-1,-1
10,-1,357,207,54,87,1,-1,-1,-1
10,-1,849,236,44,100,1,-1,-1,-1
10,-1,94,519,67,174,1,-1,-1,-1
10,-1,646,584,89,182,1,-1,-1,-1
10,-1,1049,360,72,98,1,-1,-1,-1
10,-1,1501,299,86,106,1,-1,-1,-1
10,-1,1629,209,10,11,1,-1,-1,-1
10,-1,1589,524,21,18,1,-1,-1,-1
10,-1,246,243,44,92,1,-1,-1,-1
11,-1,964,792,95,213,1,-1,-1,-1
11,-1,1627,414,47,131,1,-1,-1,-1
11,-1,222,386,54,127,1,-1,-1,-1
11,-1,357,207,54,87,1,-1,-1,-1
11,-1,849,236,44,100,1,-1,-1,-1
11,-1,94,519,67,174,1,-1,-1,-1
11,-1,647,584,89,182,1,-1,-1,-1
